id feature HI AR GK AL TB VE AV OC LI OE OI LA LU LY TA PE PR LT GO ON OG WE OS UM 
201 with 1 2 3 4 5 6/7 6/7 8 8 9 10 10 11 12 5 7 8 13 9 9 9 14 10 10 
202 woman 1 1 1 2 3 1 1/12/13 1 4 5 1 6 1 7 3 8 1 9 1 1 5 1/14 10 11 
203 woods 1 2/20 3 4 5/21 6 7 8 9 10/11 10/22/23 12 13 14 5/21 15 16 16 17 10/24/25 11/26 10/27 18 19 
204 worm 1 2 3 4 5 4 6 4 4 7 4 7 8 9 5 10 11 12 13 7/13 7 4/14 15 16 
205 ye 1 2 1 4 3 2 2 1 2 2 1 1 5 6 3 7 2 2 2 2 2 1 1 8 
205a you 1 3 1 4 5 1 1 1 2 1 1 1 1 6 5 7 1 2 1 1 1 1 8 9 
206 year 1 2/13 1/14 1 3 1 4 5 6 11 7 8 12 12 3 9 6 10 11/8 11 11 7 8 8 
207 yellow 1 2 3 4 5 16 16 6 17 18 7 8 1 9 10 11 17 17 12 19 18 13 14 15 
301 arm 1 2 3 4 5 5 5 6 7 8 9/17 10 11 12 5 13 8 7 8 8/18 8 14 15 16 
302 arrow 1 1 2/18/19 3 4/20 5/21 5 6 6/22 6/7 8 9 10 11 4 12 13 14 7 7 6 15 16 17 
303 ask 1 2 3 4 14 2 2 15 5 16/6 2/18 7 8 9 14 2 10 15/19/20 16 17/21 6/22 11/23 12 13 
304 autumn 1 2 3 4 5 6 7 3 8 9 10 11 12 13 14 15 3 8 3 16 9 17 18 19 
305 be_awake 1 2/18 3 4 5 3 3 6 6/19 7 8 17 9 10 11 12 6 13 7 7 7 14 15 16 
306 ax 1/17 2 3/4 5 6 4 7 8/9 10 3 11/18 8 12 13 6 14 17 10 3 3 3/9 11 15 16 
307 axle 1 2 3 4 5 3 6 3 3 3 7 3 8 9 10 11 3 3 12 3 3 3 13 14 
308 be 1 1/7 1 1 1/2/6 1 1 1 1/3 1/4/5 1/4/8 1/4 1 1 1/2/6 1 1 1/3 1/5 1/5 1/4/5 1/9/10 1/4 1/4 
309 bear 1 1 1 1 2 1 1 3 4/14 5 6 1 7 8 9 10 4 4 11 5 5 1 12 13 
310 beard 1 1 2 1 3 1 4 5 5 5 6 5 7 8 9 10 5 5 11 12 5 13 14 15 
311 bee 1 2 16 17 3 4 5 6 18 6 6 7 8 9 10 11 18 18 12 6 6 13 14 15 
312 be_born 1 2 2 3 4 2 2 5 6 7 2 2 8 9 4 10 6 6 7 7 7 2 2 11 
313 bow 1 2 3 4 5 6 19 7 7 8 9 10 11 12 13 19/20 14 7 15 8 8 16 17 18 
314 branch 1 2/3 4 5 6 7/8 9/10 8/11 7 12/13/14 15/16/17 18 19 20 6 21 22 23 2 24/25 2/13/14 26/27 28 29
315 break 1 2/18 3/19 4 5 2 6 7 8 9 2/20 17/21 10/22 11 5 12 7 8 9 13 9 14 15 16 
316 bronze 1 2 3 4/16 5 6/7 7 8 9 7 10 7 11 12 13 14 15 16 7 7 7 10 7 7 
317 brother 1 2 3 4 2 2 2 2 5 2 2 2 1 1 2 2 2 5 2 2 2 2 2 2 
318 brother-in-law 1 2 2 3 4 2 5 2 6/19 2 7 2 8 9 10 11 12 6 13 14 15 16 17 18 
319 bull 1 2/18 3 4 5 6/7 7 8 9 10 3 3 11 12 5 13 14 15 16 17/19/20 10 3 3 3 
320 buy 1 16 17 2 3 3 4 5 6 7 3 8 9 10 11 12 13 6 7 14 15 3 8 8 
321 carry 1 2/10 2 3/11 2 2 2 9 4 2 2 2 1 5 2 2 6 4 2 2 7 8/12 2 2 
322 cattle 1 2 3 4 3/5 3 3 3 6 7/8 3 3 9 10 3/5 11 12 13 14 7/12 8 15 16 3 
323 collect 1/16 2/17 3 3 4/18 5 5 6 7 1/8/19 9/20 3 10 11 4 12 7 15/21/22 1 1/8 1/8 9/23 13 14 
324 comb 1 2 3 4 5 6 7 8/20 9 10 21 3 11 12 13 14 15 16 17 10 10 18 19 3 
325 cook 1 2 3 4 3 3 3 5 6 7 8 3 9 10 3 11 12 13 14 15 16 17 18 19 
326 cow 1 2 2 3 2 2/4 2 5 5 2 2 4 2 2 2 2 6 2 7 2 2 2 8 9 
327 darkness 1 2/18 3 4/19 5 6 6 6/20 6 7 16/21 6 8 9 5 10 11 6 12 13 17/22 16 14 15 
328 daughter 1 2 2 3 2 2 2 2 2 2 4 5 2 2 2 6 2 7 2 2 2 8 2 9 
329 daughter-in-law 1 2/16 2 2 3 2 4 2 5 2 6 2 7 8 9 10 5 11 12 2/17 2 13/18 14 15 
330 door 1 2 2 2 2 2 2 2 2 2 2 2/10/11 3 4 5 2 6 2 2/7 2/7 2 2 8 9 
331 drive 1 2 4 5 7 3 3 9 9/16 10 3 3 6 8 11 12 9 9 10 13/17 10 14 15 3 
332 duck 7 2 1 3 4 5 6 1 1 1 8 1 9 10 11 12 1 13 14 1 1 15 16 17 
333 eight 1 2 2 2 2 2 2 2 2 2 2 2 3 2 2 4 2 2 2 2 2 2 5 6 
334 elbow 1 2 3 4 5 6 6 7 7 17 8 9 10 11 12 13 7 7 14 17 17 18 15 16 
335 eyebrow 1 2 3 4 3 3 3 3 5 3 3 6 7 8 3 9 3 10 11 3 3 12 13 14 
336 father-in-law 1 2/18 3 4 5 4 4 4 6 4 7 4 8 9 10 11 12 13 4 14/19 4 15 16 17 
337 field 1 2/17/18 2 3 4 5/19 6 7 8/20 2 9 16 10 11 12 13 8/21 8/22 2 2 2 14/23 15 2/16 
338 finger 1 2 3 4 5 6 7 8 8 9 10 11 12 13 5 14 8 8 9 9 9 15 16 17 
339 fly 1 2/14 2 2 3 4 4 2 2 5 6 2 7 8 9 10 2 2 11 5 5 6/15 12 13 
340 follow 1 2 3/16 4 5 3 3 6 3 7 3 3 8 9 3 10 11 3 12 7 7 13 14 15 
341 free 1 2 3 4 5 6 7 8 9/18 10 11 3 12 1 13 14 15 16 10 10 10 10 3 17 
342 furrow 1 2 3 4/22 5 6 7 8 9 10 11 12 13 14 15 16 17 9 18 19 10 10/23 20 21 
343 go 2 3/13 1/14 7/15 1 1/9 1/9 1 1 10/11/12 8 1 1 4 1 1 1 1 12/5 11/12/5 10/11/12 6 1 1 
344 goat 1 2 3 4 5 4 6 7 4 8 9 10 11 12 5 13 4 14 8 8 8/15 9 16 10 
345 gold 1 2 3 4/17 5 6 6 14 7 15 8 7 9 10 5 6 7 16 15 15 15 11 12 13 
346 goose 1 2 3 4 5 3 6 3 3 3 7 3 8 9 10 11 3 3 12 3 3 7 13 14 
347 grain 1 2 3 4/19 5/20 6/21 6 7 6/8 9 10/11 12 13 14 5 15 9/16 8/22 9 9 9 11 17 18 
348 grind 1 2 2 3 4 5 6 1 1 7 1 1 8 9 10 11 12 1 1 1 1 1 13 1 
349 half 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 9 10 10 10 18 19 20 
350 have 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 9 17 10/18 10/18 10 19 12 12 
351 hide 1/18 2/19 3 4 5 6 6 7 8 9/10/20 9/21 9/22/23 11 12 5 6 13 8/24 14 9/14/25 9/26 9/15 16 17 
352 honey 1 1 1 1 2/3 2 4 2 2 5 1 1 1 6 7 8 2 2 1 5 5 1 9 10 
353 horse 1 2 3 4 3 3 3 5 6 7 3 3 3 3 3 3 8 9 3 7/13 7 10/14 11 12 
354 house 1 2 3 4 5 2/13 12 2 7 8 9 2 1 1 5 12 7 2/14 6/15 8 8 9 10 11 
355 hundred 1 2 3 4 3 3 3 3 3 3 3 3 5 6 3 7 8 3 3 3 9 3 10 11 
356 jaw 1 2 2 3 4 2 2 5 2 6/18 7 8 9 10 2 11 12 13 14 15 2 2/19 16 17 
357 join 1 2 3 4/20 5 6 6 7 6 8 9 6 10 11 5 12 13 14 15 16/21 8/22 17/23 18 19 
358 king 1 2/18 3 4 5 6 7 8 9 10 6 6 11 11 5 7 12 13/19 14 10 10 15 16 17 
359 knot 1 2 3 4/22 5 6 7 8 9 10 11 12 13 14 15 16 17 9 18 10 10 19 20 21 
360 lamb 1 2/15 2 3 4 2 5 6 7/16 8 6 6 9 10 11 12 7 7 8/17 8 8 6 13 14 
361 lead 1 3/13/14 3/15 6/16 3 2 2/8 8 8 11 8 12 4 5 3 2 8 8 12 11 11 7/17 9 10 
362 leave 1 2/16 2 15 4 2/17 2 5 2 3 6/18 2 7 8 4 9 10 11/19 3/20 3/21/22 3 12 13 14 
363 lick 1 2 2 3 4 2 2 2 2 2 2 2 5 6 7 8 9 2 2 2 2 2 10 11 
364 lift 1 2 3 4 5/20 7 8 9/21/22 10 11 12 6 13 14 5 15 16 10 11 11/23/24 11 17 18 19
365 light 1 1 2 3 1/12 1/13/14 1 4 4 1 1 1/15 5 6 1/16 7 8 9 1 1 1 1 10 11 
366 lip 1 2 3 4 5 6 6 6 7 8/9 10 8 11 12 5 13 9 7 9 9 8 14 15 16 
367 livestock 1 2 3/19 4 5 6 6 7 8/20 6 9/21 6 10 11 12 13 14 15 16 6 6 17 18 6  
368 make 1 2/15 3 4 5 6 6 7 8 14/9 10 11 1 1 1 6/16 12 8 14/17 13 14/9/18 10 11 11 
369 middle 1 2 2 2 3 2 2 4 5 2 2 2 6 7 3 8 9 5 2 2 2 10/11 2 12 
370 milk 1 2 3 4 5 6/18 6/19 7 15 17 5 16 8 9 5 10 11 15 17 17 17 12 13 14 
371 mother-in-law 1 2/18 3 2 4 2 5 2 6/19 2 7 2 8 9 10 11 12 13 2 14/20 2 15 16 17 
372 mouse 1 2 2 2 3 2 4 2 5 2 6 2 7 8 9 10 11 5 12 2 2 6 13 14 
373 nail 1 2 3 4 12 3 5 13 14 15 16 3 6 7 12 8 13 14 9 15 15 16 10 11 
374 naked 1 1 1 2 3 1 1 12 12 13 14 1 4 5 6 7 8 9/15 13 13 13 14 10 11 
375 navel 1 2 3 4 5 3 3 6 7 16 3 3 8 9 10 11 3 3 12 16 16 13 14 15 
376 nine 1 2 2 2 2 2 2 5 5 2 2 2 3 2 2 2 2 5 2 2 2 2 4 2 
377 now 1 2 1 1/14 1/15 1/13 1/12 1 3 1 4 1 1 5 6 12 7 8/16 1 1 1 9 10 11 
378 orphan 1 2 2 3 4 5 6 7 8 9 10 2 11 12 13 14 15 16 17 18 19 20 21 22 
379 ox 1 2 8 3 14 8 8 4 5 14 6 8 7 9 14 10 11 12 14 14 14 14/13 15 16 
380 pig 1 2 3/15 4/16 3 3 3 14 5 14 6 3/7 8 9 10 11 14 12 14 14 14 6 13 3/7 
381 plow 1 2 3 4 5 6 6 3 3 3 3 3 7 8 9 10 3 3 3 3 3 3 11 12  
382 pour 1/15/16 2 3 4 3 5 5 6 6/17 14 7 14 1 8 3 9 6 6 14 10 14 11 12 13 
383 put 14 15 1 2 13 1 1 5/17/18 1/19 5/6 7 8 12 12/20 13 1 11 9 5/6 5/6 5/6/21 4/22 16 10 
384 remember 1 2/13 3 4 5 6 6 3 3 3 3 3 7 8 5 9 10 3 3/14 3/15 11 3 3 12 
385 roof 1 2/21 3/22/23 4/24 5/25 6 7 8/26 17 18/27 19 20 9 10 11 12 17 13 14 18 18 19 15 16 
386 row 1 2 3 4 5 6 7 8 9 20 20 21 10 11 12 13 14 9/22 15 20 16 17 18 19 
387 send 1/20 2/21 3 4 5 6 7 8 9 10 11 12 13 14 5 6 15 16/22 10 10 10 17 18 19 
388 seven 1 1 1 1 1 1 1 1 1 7 1 1 2 3 1 4 1 1 7 7 7 1 5 6 
389 shadow 1 2/17 3 3 3 3 3 3 4/18 5/6 16 7 8 9 10 11 12 13/19 5 6 5/6 16 14 15 
390 sheep 1/17 2 3 4 5/6 6 7 6 6 8 9 6 6 6 5 10 11 12 13 14 8 15 16 6 
391 ship 1 2 3/17 4 5/6 3 3 7 8 9 3/10 3 11 12 5/6 3 13 14 9 9 9 10 15 16 
392 shoulder 1/15 2 2 3 2 2 4/16 5/17 6 7/8 9/18 2 10 11 2 12 6 5 2 7 7/8 13 14 2 
393 silver 1 2 10 4 5 3 3 6 11 12 3 3 7 8 5 3 13 14 12 12 12 3 3 9 
394 sister 1 2 3 4 2 2 2 2 2 2 2 2 1 5 2 6 2 7 2 2 2 2 8 9 
395 sister-in-law 1 2 3 4 5 6 7 3 8/22 9 10 3 11 12 13 14 15 8 16 17 18 19 20 21 
396 six 1 2 2 2 2 2 2 2 2 2 2 2 3 4 2 5 2 2 2 2 2 2 6 7 
397 son 1 2/12 11 4 11 1/3 1/3 3 3 3 5 6 7 8 11 1 3 9 3 3 3 5 1 10 
398 son-in-law 1 2 3 3 4 17 17 18 18 5 6 3 7 8 9 10 11 12 13 13 5 14/15 16 19 
399 spin 1 2 3/18 4 5 6 7 8 9 10 3 3 11 12 13 14 15 9 10 10 10 3 16 17 
400 spring 13 1 1 2 3 1 1/15 1 14 4 5 1 6 7 8 1 9 14 10 1 4 1 11 12 
401 stay 1 2/19 2 3/20 4/5/21 4/6 7 19 8 9 10 2 11 12 5/22 13 8 8 4 14 15 16 17 18
402 steal 1 2 3 4 3/5 6 7 8 9 10 11 12 13 14 5 15 16 17 3/10 10 10 18 19 20 
403 summer 1 2 3 4 17 5 2 6/19 7 18 2 8 9 10 17 11 12 7 13 18 18 2 14 15 
404 sweat 1 2 2 3 2 2 2 4 5 2 1 2 6 7 8 9 5 2 10 2 2 2 11 12 
405 sweet 1 2/19 3 4 10 5 8 9 9 6 7 11 12 13 10 14 15 9 16 6 6 7 17 18 
406 ten 1 2 2 2 2 2 2 2 2 2 2 2 3 4 2 5 2 2 2 2 2 2 6 2 
407 thousand 1 2 3 4 5 15 15 6 6 6 7 8 9 10 5 11 6 6 6 6 6 12 13 14 
408 twenty 1 2 2 3 2 2 2 4 4 5 2 2 6 7 2 8 9 4 5 5 5 2 10 11 
409 udder 1 2 3/19 4/20 5 3 6 7 8 3 9 3 10 11 12 13 14 8 15 3 3 16 17 18 
410 wasp 1 2 3 4/21 5 6 7 8 7 7 9 7 10 11 12 13 7 14 15 16 17 18/22 19 20 
411 wear 1 1 16 3 1/2 1 1 4 5/17 15 6 7 1 8 1 9 10 4/5 15 11 12 1 13 14 
412 weave 1 2 3 4/16 3 4 5 6 7 3 8 9 10 11 3 12 6 7 13 3 3 8 14 15 
413 wheel 1 2 3 4 5 6 6 14 7 6 3/7 7 8 9 5 10 15 7/16 11 6 7 7/17 12 13 
414 widow 1 2 3 2 4 2 2 2 5 2 2 2 6 7 8 9 2 10 2 11 2 2 12 13 
415 winter 2 2 2 2 2 2 2/8 2 2 7 2 2 1 3 2 4 2 2 7 7 7 2 5 6 
416 wolf 1 2 3 3 4 3 3 3 3 3 2 3 5 6 7 3 3 3 3 3/11 3 8 9 10 
417 wood 1 2 3/12 1 1 1 1 1 4/13 1/5 5 6/14 1 7 1 1 4 8 1 1/5 5/15 9/16 10 11 
418 wool 1 2 3 4 5 1 1 1 1 1 12 1 1 6 7 8 9 1 1 1 1 12 10 11 
419 yoke 1 1 1 2 3 1 4 1 1 1 1 1 5 6 7 8 9 1 1 1 1 1 10 11 
420 young 1 2/13 2 3 4 5 5 5 5 12 12 5 6 7 8 9 10 5 12 12 12 12 11 5 
421 tear 1 2 2 3 11 11 11 4 11 2 2 2 5 6 11 7 8 11 2 2 2 2 9 10 
